title,part,min len,max len,incl num,incl punct,num pos,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
First Real Experiment,1,3,7,True,True,12,[50],LSTM,Tanh,40,8168,1806,57.50097985
Epoch,Train Error,Test Error,Validation Error
4,0.490328109696,0.493909191584,0.487889273356
8,0.405607247796,0.408637873754,0.405997693195
12,0.396302644466,0.404208194906,0.393310265283
16,0.43486777669,0.43853820598,0.43137254902
20,0.469147894221,0.471207087486,0.468858131488
24,0.448090107738,0.452380952381,0.445213379469
28,0.432174338883,0.441860465116,0.432525951557
32,0.388589618022,0.404208194906,0.389273356401
36,0.337536728697,0.356035437431,0.337370242215
40,0.41221841332,0.424695459579,0.410611303345
Final Validation Error,0.337370242215
