title,part,min len,max len,incl num,incl punct,num pos,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
First Real Experiment,2,3,7,True,False,12,[50],LSTM,Tanh,40,5920,1234,43.74819495
Epoch,Train Error,Test Error,Validation Error
4,0.415371621622,0.413290113452,0.410891089109
8,0.354898648649,0.354132901135,0.359735973597
12,0.420608108108,0.427876823339,0.416666666667
16,0.493581081081,0.491896272285,0.49504950495
20,0.324493243243,0.340356564019,0.330858085809
24,0.353547297297,0.354132901135,0.36303630363
28,0.353885135135,0.364667747164,0.364686468647
32,0.390033783784,0.388168557536,0.389438943894
36,0.446959459459,0.449756888169,0.443894389439
40,0.333614864865,0.346839546191,0.340759075908
Final Validation Error,0.330858085809
