title,part,min len,max len,incl num,incl punct,num pos,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
First Real Experiment,3,3,7,False,True,12,[50],LSTM,Tanh,40,7676,1618,55.33687265
Epoch,Train Error,Test Error,Validation Error
4,0.496743095362,0.495673671199,0.496991576414
8,0.350312662845,0.362793572311,0.358002406739
12,0.414017717561,0.417799752781,0.419975932611
16,0.470557582074,0.469715698393,0.474729241877
20,0.433689421574,0.438195302843,0.441636582431
24,0.468212610735,0.471569839308,0.470517448857
28,0.337285044294,0.351050679852,0.35138387485
32,0.359041167275,0.38195302843,0.379061371841
36,0.443590411673,0.451792336218,0.450661853189
40,0.464825429911,0.467243510507,0.466305655836
Final Validation Error,0.35138387485
