title,part,min len,max len,incl num,incl punct,num pos,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
First Real Experiment,4,3,20,FALSE,FALSE,12,[50],LSTM,Tanh,200,17902,3836,1262.366597
Epoch,Train Error,Test Error,Validation Error,,,,,,,,,,
4,0.37057312,0.371741397,0.371204453,,,,,,,,,,
8,0.319461513,0.32168926,0.32312753,,,,,,,,,,
12,0.311976315,0.318561001,0.312246964,,,,,,,,,,
16,0.318456038,0.316996872,0.319838057,,,,,,,,,,
20,0.423304659,0.424661105,0.419534413,,,,,,,,,,
24,0.413473355,0.411626694,0.407894737,,,,,,,,,,
28,0.42660038,0.427007299,0.422823887,,,,,,,,,,
32,0.431516032,0.434567258,0.42611336,,,,,,,,,,
36,0.374706737,0.375912409,0.373734818,,,,,,,,,,
40,0.417327673,0.417883212,0.410425101,,,,,,,,,,
44,0.348285108,0.35375391,0.34944332,,,,,,,,,,
48,0.41425539,0.413972888,0.409665992,,,,,,,,,,
52,0.284716791,0.291449426,0.288967611,,,,,,,,,,
56,0.345492124,0.345151199,0.345647773,,,,,,,,,,
60,0.376159088,0.379822732,0.369939271,,,,,,,,,,
64,0.445592671,0.44447341,0.44534413,,,,,,,,,,
68,0.322310356,0.325338895,0.325151822,,,,,,,,,,
72,0.434532454,0.43717414,0.432945344,,,,,,,,,,
76,0.419953078,0.422314911,0.415232794,,,,,,,,,,
80,0.358730868,0.360271116,0.35652834,,,,,,,,,,
84,0.455088817,0.455683003,0.455212551,,,,,,,,,,
88,0.285722266,0.289624609,0.29048583,,,,,,,,,,
92,0.31990839,0.323514077,0.324645749,,,,,,,,,,
96,0.373086806,0.37278415,0.369433198,,,,,,,,,,
100,0.422019886,0.424400417,0.419534413,,,,,,,,,,
104,0.483353815,0.481751825,0.484564777,,,,,,,,,,
108,0.410456932,0.412408759,0.408653846,,,,,,,,,,
112,0.376941124,0.381908238,0.374493927,,,,,,,,,,
116,0.374259859,0.378519291,0.372975709,,,,,,,,,,
120,0.428443749,0.431699687,0.426619433,,,,,,,,,,
124,0.429449224,0.428571429,0.424089069,,,,,,,,,,
128,0.340576472,0.343326382,0.343876518,,,,,,,,,,
132,0.379734108,0.380344108,0.379301619,,,,,,,,,,
136,0.290023461,0.296663191,0.300354251,,,,,,,,,,
140,0.374259859,0.377476538,0.372469636,,,,,,,,,,
144,0.358954307,0.364181439,0.36361336,,,,,,,,,,
148,0.256451793,0.267205422,0.261639676,,,,,,,,,,
152,0.335493241,0.343326382,0.337803644,,,,,,,,,,
156,0.446877444,0.446298227,0.445597166,,,,,,,,,,
160,0.278348788,0.290145985,0.287955466,,,,,,,,,,
164,0.401631103,0.405630865,0.404605263,,,,,,,,,,
168,0.346330019,0.35375391,0.348431174,,,,,,,,,,
172,0.377052843,0.376955162,0.375,,,,,,,,,,
176,0.40559714,0.41084463,0.406629555,,,,,,,,,,
180,0.322924813,0.333941606,0.330718623,,,,,,,,,,
184,0.387889621,0.389728884,0.388157895,,,,,,,,,,
188,0.334376047,0.342805005,0.339574899,,,,,,,,,,
192,0.345603843,0.354535975,0.348937247,,,,,,,,,,
196,0.303206346,0.311261731,0.313259109,,,,,,,,,,
200,0.299296168,0.30995829,0.308704453,,,,,,,,,,
Final Validation Error,0.261639676,,,,,,,,,,,,
