title,part,min len,max len,incl num,incl punct,num pos,medium,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
SvsM1,med_flex,3,7,True,True,36,True,[50],LSTM,Tanh,40,5986,1306,42.99749285
Epoch,Train Error,Test Error,Validation Error
2,0.3626795857,0.366003062787,0.38031496063
4,0.280821917808,0.282542113323,0.308661417323
6,0.309555629803,0.331546707504,0.342519685039
8,0.264951553625,0.286370597243,0.303149606299
10,0.232208486468,0.245022970904,0.277952755906
12,0.286501837621,0.308575803982,0.336220472441
14,0.24540594721,0.267228177642,0.300787401575
16,0.269295021717,0.300918836141,0.32125984252
18,0.233377881724,0.265696784074,0.291338582677
20,0.200801871032,0.238131699847,0.262204724409
22,0.209154694287,0.245788667688,0.276377952756
24,0.189274974942,0.226646248086,0.242519685039
26,0.168058803876,0.212863705972,0.222834645669
28,0.182258603408,0.221286370597,0.244881889764
30,0.18693618443,0.238897396631,0.252755905512
32,0.164216505179,0.219754977029,0.245669291339
34,0.163715335783,0.217457886677,0.240157480315
36,0.150517875042,0.200612557427,0.227559055118
38,0.211994654193,0.259571209801,0.279527559055
40,0.141496825927,0.199846860643,0.220472440945
Final Validation Error,0.220472440945
